,MotID,LidID,EinstID,Timastimpill
527,91,145,803,2006-04-18 02:21:27.530
528,91,156,692,2006-04-03 13:45:52.373
529,91,170,1321,2006-03-30 09:39:42.200
530,91,171,1316,2006-03-05 13:47:45.340
531,91,360,825,2006-04-03 22:37:28.390
532,91,361,830,2006-04-03 22:52:06.607
533,91,482,691,2006-04-03 13:50:10.123
534,91,505,177,2006-02-27 11:33:28.827
535,91,510,1004,2006-03-08 22:53:10.780
536,91,510,1645,2006-03-08 22:53:10.780
537,91,515,31,2006-04-03 17:52:17.607
538,91,515,1442,2006-04-03 17:56:34.840
539,91,658,544,2006-04-03 18:05:18.793
540,91,763,1330,2006-04-03 19:31:37.873
541,91,766,1124,2006-02-23 13:49:23.513
542,91,768,486,2006-03-16 22:14:51.420
543,91,1014,621,2006-03-23 23:51:10.763
544,91,1015,621,2006-03-24 00:04:06.750
545,91,1087,1112,2006-04-03 11:38:58.590
546,91,1089,491,2006-04-03 00:35:44.513
547,91,1175,1495,2006-04-04 16:14:35.153
548,91,1203,1603,2006-03-29 13:26:49.437
549,91,1272,908,2006-03-11 17:25:42.840
550,91,1567,1466,2006-04-18 02:12:51.793
551,91,1615,1543,2006-03-29 14:12:57.467
552,91,1693,2086,2006-04-19 15:22:03.937
553,91,1839,128,2006-03-30 11:48:32.373
554,91,1953,111,2006-04-12 15:23:54.500
555,91,1953,559,2006-03-31 11:16:18.780
556,91,1954,1023,2006-02-17 00:23:22.500
557,91,1954,1153,2006-02-17 00:24:15.403
558,91,2058,1831,2006-03-17 13:12:38.733
559,91,2089,1582,2006-04-03 11:19:03.920
560,91,2241,298,2006-04-03 17:17:44.763
561,91,2245,1582,2006-04-03 11:06:01.840
562,91,2579,2012,2006-03-30 13:48:22.403
563,91,2690,2028,2006-03-31 14:43:26.780
564,91,2693,1705,2006-04-03 14:28:46.577
565,91,2697,219,2006-04-03 18:08:13.280
566,91,2697,1383,2006-04-03 18:08:33.437
567,91,2792,2042,2006-04-21 14:14:28.903
568,93,27,621,2006-03-19 15:05:50.403
569,93,360,822,2006-03-22 16:53:42.733
570,93,360,825,2006-03-22 16:53:18.717
571,93,768,486,2006-03-20 22:37:06.500
572,93,1255,1004,2006-03-22 13:09:14.793
573,93,2130,1495,2006-03-22 15:13:58.733
574,95,2071,1793,2006-04-03 23:24:50.060
575,97,170,1185,2006-11-08 13:02:23.577
576,97,171,1316,2006-11-08 16:33:54.513
577,97,1034,398,2006-11-10 11:05:26.170
578,97,1443,398,2006-11-15 13:56:03.653
579,98,108,506,2006-10-18 22:43:41.327
580,98,1014,621,2006-10-19 19:56:03.560
581,98,1015,621,2006-10-19 19:59:21.000
582,98,1203,1603,2006-10-16 22:01:09.890
583,98,1255,1004,2006-10-13 00:28:13.420
584,98,1955,1785,2006-10-19 18:01:15.890
585,98,2130,1265,2006-10-18 23:40:40.797
586,100,1203,1603,2006-11-01 22:35:06.717
587,100,2840,584,2006-10-27 12:11:25.200
588,101,108,506,2007-02-01 15:34:52.483
589,101,1203,1603,2007-02-01 09:22:57.577
590,101,2840,584,2007-02-15 16:19:36.373
591,102,132,1848,2007-01-05 11:01:51.873
592,102,1014,621,2007-01-10 00:28:35.577
593,102,1015,525,2007-01-10 22:10:05.140
594,102,1024,177,2007-01-05 09:08:23.123
595,102,1049,153,2007-01-05 09:11:55.873
596,102,1255,1004,2007-01-05 18:53:57.153
597,102,1955,1785,2007-01-10 23:34:23.607
598,102,2505,2073,2007-01-09 14:25:33.420
599,102,2792,2042,2007-01-10 22:38:47.343
600,102,2873,635,2007-01-03 15:05:03.797
601,105,132,1848,2007-03-20 21:36:00.687
602,105,361,830,2007-03-14 19:52:39.857
603,105,1049,153,2007-03-13 18:12:00.000
604,105,1203,1603,2007-03-20 10:48:42.857
605,105,1255,1004,2007-03-20 17:05:45.077
606,105,1616,129,2007-03-21 17:42:11.170
607,105,1955,1785,2007-03-21 12:38:14.950
608,105,2505,2073,2007-03-20 18:26:13.047
609,105,2792,2042,2007-03-13 16:35:22.747
610,105,2840,584,2007-03-04 21:26:18.360
611,106,1014,621,2007-02-28 10:36:25.077
612,106,1255,1004,2007-02-27 09:54:52.560
613,106,1616,355,2007-02-27 22:58:15.890
614,106,1616,1383,2007-02-27 22:56:47.717
615,106,2505,2073,2007-02-26 11:20:25.890
616,107,170,1185,2006-12-27 21:10:30.437
617,107,171,1316,2006-12-27 21:12:13.687
618,108,1019,453,2007-02-15 23:47:13.543
619,109,19,1048,2007-04-09 21:28:48.827
620,109,37,1299,2007-03-10 18:52:06.153
621,109,38,2254,2007-04-02 20:25:30.890
622,109,39,365,2007-03-29 15:44:19.247
623,109,39,2208,2007-03-29 15:44:39.077
624,109,43,22,2007-03-30 15:57:43.357
625,109,61,531,2007-04-02 22:15:23.780
626,109,70,876,2007-03-27 13:56:21.670
627,109,88,817,2007-04-02 14:18:53.450
628,109,89,1388,2007-03-29 19:57:52.610
629,109,90,2164,2007-03-29 20:01:18.997
630,109,93,140,2007-04-02 22:58:15.513
631,109,93,728,2007-04-02 22:58:15.513
632,109,108,506,2007-02-27 20:13:47.827
633,109,109,1603,2007-03-05 16:46:28.983
634,109,112,139,2007-03-29 20:04:21.327
635,109,115,1308,2007-04-02 18:21:50.123
636,109,115,1383,2007-04-02 18:22:07.687
637,109,119,355,2007-04-02 18:50:45.547
638,109,119,1383,2007-04-02 18:51:06.217
639,109,138,177,2007-04-04 14:46:37.123
640,109,140,153,2007-03-09 10:29:24.030
641,109,170,1788,2007-04-02 13:58:38.360
642,109,171,1316,2007-03-29 13:53:46.793
643,109,356,1116,2007-03-30 14:57:03.920
644,109,360,825,2007-04-01 17:25:05.607
645,109,361,830,2007-04-01 17:38:29.483
646,109,406,1369,2007-03-22 20:52:40.310
647,109,459,513,2007-03-29 16:47:31.263
648,109,510,1004,2007-03-04 15:32:38.827
649,109,510,1645,2007-03-04 15:32:38.827
